protocol,throughput_mbps,mean_rtt_ms,p90_rtt_ms,p99_rtt_ms,std_rtt_ms,loss_rate,retx_rate,flow_count,app_type,network_load,data_source,best_protocol
reno,4.3561,50.474,232.4178,232.6134,90.2225,0.099339,0.081566,7,streaming,0.68,ns2,reno
reno,4.2941,48.5993,230.2322,246.7696,89.0466,0.077629,0.063265,22,streaming,0.13,ns2,reno
reno,4.2016,50.8508,270.7197,260.4152,74.5195,0.116777,0.061415,29,streaming,0.83,ns2,reno
reno,4.831,53.1149,248.834,236.6463,97.1705,0.077154,0.068654,45,io,0.19,ns2,reno
reno,4.1428,59.3317,222.1357,243.4746,76.7336,0.071913,0.064592,11,io,0.66,ns2,reno
reno,4.5115,49.2619,237.2019,226.4667,76.0638,0.113706,0.078482,43,io,0.44,ns2,reno
reno,4.3505,48.7045,254.758,318.3899,87.2135,0.099726,0.08569,8,sort,0.67,ns2,reno
reno,4.9712,47.9559,201.6315,278.9936,85.0369,0.097835,0.057283,36,streaming,0.31,ns2,reno
reno,4.212,47.6883,227.5157,260.0831,75.9371,0.095251,0.089831,30,sort,0.46,ns2,reno
reno,4.3294,44.0207,207.6258,216.7106,86.8383,0.105567,0.068504,9,streaming,0.43,ns2,reno
reno,5.0542,52.4842,291.9188,286.638,68.4269,0.102344,0.080183,39,sort,0.45,ns2,reno
reno,3.6725,52.9109,240.8743,229.259,89.6673,0.112568,0.102095,16,sort,0.78,ns2,reno
reno,4.7028,49.7849,270.8563,272.4734,72.6521,0.108115,0.076488,38,streaming,0.56,ns2,reno
reno,3.5045,49.2345,330.2719,330.4206,92.9425,0.091624,0.060889,41,sort,0.93,ns2,reno
reno,4.0323,66.6584,337.0885,295.7634,71.8427,0.11412,0.105647,15,streaming,0.95,ns2,reno
reno,4.3142,44.9914,244.6418,265.4851,74.0962,0.07748,0.090638,46,sort,0.34,ns2,reno
reno,4.2263,47.0823,209.7768,209.3063,84.6406,0.094881,0.050767,50,sort,0.44,ns2,reno
reno,3.3931,46.0712,250.0576,272.0666,76.4075,0.095587,0.078961,41,streaming,0.67,ns2,reno
reno,4.495,60.6765,233.2563,228.1064,80.968,0.090696,0.074539,8,streaming,0.62,ns2,reno
reno,3.3992,54.0878,253.7732,309.4242,75.5161,0.079403,0.07562,32,sort,0.71,ns2,reno
reno,4.1284,56.5729,231.0782,270.973,84.5331,0.062387,0.088808,5,io,0.27,ns2,reno
reno,3.2573,59.8548,259.3261,283.3977,69.8363,0.097087,0.108138,21,streaming,0.97,ns2,reno
reno,3.4521,63.7464,309.819,320.4383,87.8673,0.102759,0.067451,18,io,0.93,ns2,reno
